tipo,periodo_inicial,periodo_final,valor_real,valor_aprox,error_absoluto,error_relativo_pct,signo_confiable
cancelacion_a3,Dic-22,Dic-23,-0.99,-10.00,9.01,90.10,True
representacion_mensual,Ene-22,,822.05,820.00,2.05,0.25,
representacion_mensual,Feb-22,,807.07,810.00,2.93,0.36,
representacion_mensual,Mar-22,,799.19,800.00,0.81,0.10,
representacion_mensual,Abr-22,,815.12,820.00,4.88,0.60,
representacion_mensual,May-22,,849.39,850.00,0.61,0.07,
representacion_mensual,Jun-22,,857.77,860.00,2.23,0.26,
representacion_mensual,Jul-22,,953.71,950.00,3.71,0.39,
representacion_mensual,Ago-22,,904.35,900.00,4.35,0.48,
representacion_mensual,Sep-22,,921.01,920.00,1.01,0.11,
representacion_mensual,Oct-22,,955.89,960.00,4.11,0.43,
representacion_mensual,Nov-22,,917.05,920.00,2.95,0.32,
representacion_mensual,Dic-22,,875.66,880.00,4.34,0.50,
representacion_mensual,Ene-23,,826.34,830.00,3.66,0.44,
representacion_mensual,Feb-23,,798.26,800.00,1.74,0.22,
representacion_mensual,Mar-23,,809.50,810.00,0.50,0.06,
representacion_mensual,Abr-23,,803.84,800.00,3.84,0.48,
representacion_mensual,May-23,,798.64,800.00,1.36,0.17,
representacion_mensual,Jun-23,,799.87,800.00,0.13,0.02,
representacion_mensual,Jul-23,,813.40,810.00,3.40,0.42,
representacion_mensual,Ago-23,,855.66,860.00,4.34,0.51,
representacion_mensual,Sep-23,,884.40,880.00,4.40,0.50,
representacion_mensual,Oct-23,,926.35,930.00,3.65,0.39,
representacion_mensual,Nov-23,,886.61,890.00,3.39,0.38,
representacion_mensual,Dic-23,,874.67,870.00,4.67,0.53,
representacion_mensual,Ene-24,,907.99,910.00,2.01,0.22,
representacion_mensual,Feb-24,,963.44,960.00,3.44,0.36,
representacion_mensual,Mar-24,,967.93,970.00,2.07,0.21,
representacion_mensual,Abr-24,,960.14,960.00,0.14,0.01,
representacion_mensual,May-24,,917.88,920.00,2.12,0.23,
representacion_mensual,Jun-24,,926.08,930.00,3.92,0.42,
representacion_mensual,Jul-24,,937.56,940.00,2.44,0.26,
representacion_mensual,Ago-24,,929.90,930.00,0.10,0.01,
representacion_mensual,Sep-24,,926.21,930.00,3.79,0.41,
representacion_mensual,Oct-24,,933.81,930.00,3.81,0.41,
representacion_mensual,Nov-24,,971.60,970.00,1.60,0.16,
representacion_mensual,Dic-24,,982.30,980.00,2.30,0.23,
representacion_mensual,Ene-25,,1000.76,1000.00,0.76,0.08,
representacion_mensual,Feb-25,,956.62,960.00,3.38,0.35,
representacion_mensual,Mar-25,,932.55,930.00,2.55,0.27,
representacion_mensual,Abr-25,,961.96,960.00,1.96,0.20,
representacion_mensual,May-25,,941.01,940.00,1.01,0.11,
representacion_mensual,Jun-25,,938.04,940.00,1.96,0.21,
representacion_mensual,Jul-25,,951.55,950.00,1.55,0.16,
representacion_mensual,Ago-25,,966.30,970.00,3.70,0.38,
representacion_mensual,Sep-25,,960.37,960.00,0.37,0.04,
representacion_mensual,Oct-25,,953.97,950.00,3.97,0.42,
representacion_mensual,Nov-25,,935.70,940.00,4.30,0.46,
representacion_mensual,Dic-25,,916.16,920.00,3.84,0.42,
variacion_mes_a_mes,Ene-22,Feb-22,-14.98,-10.00,4.98,49.80,True
variacion_mes_a_mes,Feb-22,Mar-22,-7.88,-10.00,3.74,37.40,True
variacion_mes_a_mes,Mar-22,Abr-22,15.93,20.00,5.69,28.45,True
variacion_mes_a_mes,Abr-22,May-22,34.27,30.00,5.49,18.30,True
variacion_mes_a_mes,May-22,Jun-22,8.38,10.00,2.84,28.40,True
variacion_mes_a_mes,Jun-22,Jul-22,95.94,90.00,5.94,6.60,True
variacion_mes_a_mes,Jul-22,Ago-22,-49.36,-50.00,8.06,16.12,True
variacion_mes_a_mes,Ago-22,Sep-22,16.66,20.00,5.36,26.80,True
variacion_mes_a_mes,Sep-22,Oct-22,34.88,40.00,5.12,12.80,True
variacion_mes_a_mes,Oct-22,Nov-22,-38.84,-40.00,7.06,17.65,True
variacion_mes_a_mes,Nov-22,Dic-22,-41.39,-40.00,7.29,18.23,True
variacion_mes_a_mes,Dic-22,Ene-23,-49.32,-50.00,8.00,16.00,True
variacion_mes_a_mes,Ene-23,Feb-23,-28.08,-30.00,5.40,18.00,True
variacion_mes_a_mes,Feb-23,Mar-23,11.24,10.00,2.24,22.40,True
variacion_mes_a_mes,Mar-23,Abr-23,-5.66,-10.00,4.34,43.40,True
variacion_mes_a_mes,Abr-23,May-23,-5.20,0.00,5.20,inf,False
variacion_mes_a_mes,May-23,Jun-23,1.23,0.00,1.49,inf,False
variacion_mes_a_mes,Jun-23,Jul-23,13.53,10.00,3.53,35.30,True
variacion_mes_a_mes,Jul-23,Ago-23,42.26,50.00,7.74,15.48,True
variacion_mes_a_mes,Ago-23,Sep-23,28.74,20.00,8.74,43.70,True
variacion_mes_a_mes,Sep-23,Oct-23,41.95,50.00,8.05,16.10,True
variacion_mes_a_mes,Oct-23,Nov-23,-39.74,-40.00,7.04,17.60,True
variacion_mes_a_mes,Nov-23,Dic-23,-11.94,-20.00,8.06,40.30,True
variacion_mes_a_mes,Dic-23,Ene-24,33.32,40.00,6.68,16.70,True
variacion_mes_a_mes,Ene-24,Feb-24,55.45,50.00,5.45,10.90,True
variacion_mes_a_mes,Feb-24,Mar-24,4.49,10.00,5.51,55.10,True
variacion_mes_a_mes,Mar-24,Abr-24,-7.79,-10.00,2.21,22.10,True
variacion_mes_a_mes,Abr-24,May-24,-42.26,-40.00,2.26,5.65,True
variacion_mes_a_mes,May-24,Jun-24,8.20,10.00,6.04,60.40,True
variacion_mes_a_mes,Jun-24,Jul-24,11.48,10.00,6.36,63.60,True
variacion_mes_a_mes,Jul-24,Ago-24,-7.66,-10.00,2.54,25.40,True
variacion_mes_a_mes,Ago-24,Sep-24,-3.69,0.00,3.89,inf,False
variacion_mes_a_mes,Sep-24,Oct-24,7.60,0.00,7.60,inf,False
variacion_mes_a_mes,Oct-24,Nov-24,37.79,40.00,5.41,13.52,True
variacion_mes_a_mes,Nov-24,Dic-24,10.70,10.00,3.90,39.00,True
variacion_mes_a_mes,Dic-24,Ene-25,18.46,20.00,3.06,15.30,True
variacion_mes_a_mes,Ene-25,Feb-25,-44.14,-40.00,4.14,10.35,True
variacion_mes_a_mes,Feb-25,Mar-25,-24.07,-30.00,5.93,19.77,True
variacion_mes_a_mes,Mar-25,Abr-25,29.41,30.00,4.51,15.03,True
variacion_mes_a_mes,Abr-25,May-25,-20.95,-20.00,2.97,14.85,True
variacion_mes_a_mes,May-25,Jun-25,-2.97,0.00,2.97,inf,False
variacion_mes_a_mes,Jun-25,Jul-25,13.51,10.00,3.51,35.10,True
variacion_mes_a_mes,Jul-25,Ago-25,14.75,20.00,5.25,26.25,True
variacion_mes_a_mes,Ago-25,Sep-25,-5.93,-10.00,4.07,40.70,True
variacion_mes_a_mes,Sep-25,Oct-25,-6.40,-10.00,4.34,43.40,True
variacion_mes_a_mes,Oct-25,Nov-25,-18.27,-10.00,8.27,82.70,True
variacion_mes_a_mes,Nov-25,Dic-25,-19.54,-20.00,8.14,40.70,True
variacion_anual,Ene-25,Dic-25,-84.60,-80.00,4.60,5.75,True
variacion_anual,Ene-24,Dic-24,74.31,70.00,4.31,6.16,True
variacion_anual,Ene-22,Dic-22,53.61,60.00,6.39,10.65,True
variacion_anual,Ene-23,Dic-23,48.33,40.00,8.33,20.82,True
